item_id,user_id,rating,timestamp,gender,category,brand,year,month,quantity,unitprice,amount
7,131,4,36692,Female,Home Audio,Philips,2000,6,5,6360,31800
19,231,5,36891,Female,Camera,Canon,2000,12,10,9955,99550
14,233,5,36893,Female,Camera,Kodak,2001,1,9,7639,68751
14,257,5,36926,Female,Camera,Kodak,2001,2,7,5097,35679
14,269,5,36952,Female,Camera,Kodak,2001,3,10,6472,64720
15,269,5,36960,Female,Camera,Kodak,2001,3,7,6342,44394
13,309,5,36995,Female,Camera,Nikon,2001,4,7,8146,57022
13,340,2,37024,Female,Camera,Nikon,2001,5,9,8432,75888
1,369,4,37053,Female,Computers & Accessories,HP,2001,6,7,6888,48216
14,385,4,37071,Female,Camera,Kodak,2001,6,6,5446,32676
13,404,4,37091,Female,Camera,Nikon,2001,7,7,8452,59164
14,432,5,37113,Female,Camera,Kodak,2001,8,5,8853,44265
46,516,2,37213,Female,Camera,Kodak,2001,11,9,8838,79542
39,545,5,37228,Female,Camera,Sony,2001,12,7,9538,66766
13,551,4,37231,Female,Camera,Nikon,2001,12,7,8609,60263
41,603,5,37252,Female,Camera,Sony,2001,12,5,7436,37180
46,627,4,37257,Female,Camera,Kodak,2002,1,9,9199,82791
30,671,5,37280,Female,Camera,Sony,2002,1,10,8149,81490
49,707,5,37301,Female,Camera,Sony,2002,2,8,6535,52280
7,760,5,37358,Female,Home Audio,Philips,2002,4,9,6217,55953
17,767,5,37364,Female,Camera,Fujifilm,2002,4,7,5290,37030
56,782,4,37381,Male,Camera,Sony,2002,5,7,6894,48258
60,829,4,37423,Female,Camera,Sony,2002,6,6,5551,33306
7,840,5,37433,Female,Home Audio,Philips,2002,6,10,8761,87610
40,841,5,37435,Female,Camera,Olympus,2002,6,8,5037,40296
14,844,5,37437,Female,Camera,Kodak,2002,6,8,5202,41616
48,858,5,37446,Female,Camera,Sony,2002,7,10,8382,83820
14,868,4,37455,Female,Camera,Kodak,2002,7,7,7325,51275
29,945,3,37524,Female,Camera,Kodak,2002,9,9,8104,72936
37,952,5,37534,Female,Camera,Sony,2002,10,6,9313,55878
48,985,5,37565,Female,Camera,Sony,2002,11,9,9725,87525
40,1011,5,37585,Female,Camera,Olympus,2002,11,7,8114,56798
52,991,2,37597,Female,Camera,Kodak,2002,12,7,8520,59640
58,1078,2,37613,Female,Camera,JVC,2002,12,5,6627,33135
63,1079,4,37614,Female,Camera,Olympus,2002,12,5,6273,31365
73,725,5,37627,Female,Camera,Canon,2003,1,10,7261,72610
59,1115,5,37631,Female,Camera,Canon,2003,1,8,7814,62512
73,1147,5,37646,Female,Camera,Canon,2003,1,6,6742,40452
81,1156,5,37649,Female,Computers & Accessories,Linksys,2003,1,6,5987,35922
81,1168,5,37653,Female,Computers & Accessories,Linksys,2003,2,10,7773,77730
81,1188,5,37660,Female,Computers & Accessories,Linksys,2003,2,7,7867,55069
80,1188,4,37660,Female,Computers & Accessories,Linksys,2003,2,7,7687,53809
81,1197,4,37665,Female,Computers & Accessories,Linksys,2003,2,8,8700,69600
73,1222,5,37677,Female,Camera,Canon,2003,2,6,6512,39072
81,1225,5,37679,Female,Computers & Accessories,Linksys,2003,2,9,5915,53235
83,1225,2,37679,Female,Computers & Accessories,Linksys,2003,2,8,7490,59920
73,1236,5,37684,Female,Camera,Canon,2003,3,5,6099,30495
81,1289,5,37708,Female,Computers & Accessories,Linksys,2003,3,6,6621,39726
85,1293,1,37711,Male,Television & Video,Sony,2003,3,9,8563,77067
83,1156,5,37714,Female,Computers & Accessories,Linksys,2003,4,7,7620,53340
83,1297,1,37715,Female,Computers & Accessories,Linksys,2003,4,10,6965,69650
81,1313,5,37724,Female,Computers & Accessories,Linksys,2003,4,6,6304,37824
73,1329,5,37731,Female,Camera,Canon,2003,4,10,9857,98570
94,1377,4,37756,Female,Camera,Nikon,2003,5,10,9015,90150
17,1383,5,37760,Female,Camera,Fujifilm,2003,5,5,7060,35300
91,1386,5,37761,Male,Camera,Sony,2003,5,10,9458,94580
95,1401,5,37773,Female,Camera,Olympus,2003,6,8,6321,50568
83,1443,5,37801,Female,Computers & Accessories,Linksys,2003,6,7,5181,36267
89,28,5,37809,Male,Camera,Sony,2003,7,10,9075,90750
96,1463,5,37810,Female,Computers & Accessories,Toshiba,2003,7,7,7256,50792
81,1464,4,37810,Female,Computers & Accessories,Linksys,2003,7,6,9284,55704
83,1489,1,37822,Female,Computers & Accessories,Linksys,2003,7,10,6420,64200
37,1508,4,37831,Female,Camera,Sony,2003,7,7,7557,52899
95,1559,4,37852,Female,Camera,Olympus,2003,8,8,6626,53008
97,1610,4,37878,Female,Camera,Olympus,2003,9,5,5627,28135
92,1651,5,37898,Female,Camera,Canon,2003,10,5,9515,47575
92,1670,5,37907,Female,Camera,Canon,2003,10,5,8009,40045
7,1678,1,37913,Female,Home Audio,Philips,2003,10,10,6100,61000
81,1680,3,37914,Female,Computers & Accessories,Linksys,2003,10,7,9162,64134
73,1688,5,37917,Female,Camera,Canon,2003,10,5,6592,32960
103,1689,4,37917,Female,Camera,Olympus,2003,10,5,9006,45030
97,1717,5,37931,Female,Camera,Olympus,2003,11,8,9033,72264
97,1723,5,37935,Female,Camera,Olympus,2003,11,10,5983,59830
119,1732,5,37939,Female,Computers & Accessories,Toshiba,2003,11,6,9250,55500
73,1755,5,37951,Female,Camera,Canon,2003,11,8,7584,60672
121,1764,2,37956,Female,Computers & Accessories,Linksys,2003,12,7,9418,65926
81,1732,5,37960,Female,Computers & Accessories,Linksys,2003,12,9,9153,82377
103,1156,4,37980,Female,Camera,Olympus,2003,12,7,8347,58429
103,1858,5,37981,Female,Camera,Olympus,2003,12,9,7063,63567
83,1863,1,37982,Female,Computers & Accessories,Linksys,2003,12,10,9910,99100
99,1156,4,37984,Female,Camera,Olympus,2003,12,9,7315,65835
26,1904,5,37991,Female,Camera,Sony,2004,1,5,8282,41410
133,1940,5,38005,Male,Computers & Accessories,Kensington,2004,1,10,7924,79240
89,2024,4,38034,Male,Camera,Sony,2004,2,9,8489,76401
132,2025,4,38035,Female,Camera,Vivitar,2004,2,7,8425,58975
94,2098,1,38065,Female,Camera,Nikon,2004,3,7,5124,35868
94,2132,5,38078,Female,Camera,Nikon,2004,4,8,6062,48496
59,2143,1,38080,Female,Camera,Canon,2004,4,9,6825,61425
80,1732,5,38082,Female,Computers & Accessories,Linksys,2004,4,6,8605,51630
11,2162,4,38089,Male,Camera,Panasonic,2004,4,10,5520,55200
121,2180,1,38099,Female,Computers & Accessories,Linksys,2004,4,5,9060,45300
143,2206,5,38108,Female,Camera,Canon,2004,5,10,5154,51540
140,2218,5,38112,Male,Camera,Sony,2004,5,10,6371,63710
143,2221,4,38113,Female,Camera,Canon,2004,5,7,7721,54047
110,2293,5,38139,Female,Camera,Kodak,2004,6,10,5651,56510
137,2300,1,38141,Female,Camera,Canon,2004,6,10,7327,73270
155,2302,4,38142,Female,Camera,Olympus,2004,6,6,8965,53790
146,2313,4,38146,Female,Camera,Canon,2004,6,10,8278,82780
145,2325,2,38150,Female,Camera,Canon,2004,6,7,9789,68523
126,2327,5,38151,Female,Computers & Accessories,Sony,2004,6,8,5402,43216
155,2358,3,38161,Female,Camera,Olympus,2004,6,7,9185,64295
146,2381,5,38169,Female,Camera,Canon,2004,7,6,9687,58122
145,2394,5,38174,Female,Camera,Canon,2004,7,6,5199,31194
146,2418,5,38180,Female,Camera,Canon,2004,7,10,7946,79460
78,2432,1,38188,Male,Camera,Polaroid,2004,7,6,9256,55536
155,2476,5,38197,Female,Camera,Olympus,2004,7,5,8108,40540
164,1904,5,38201,Female,Computers & Accessories,Apple,2004,8,5,7488,37440
163,2503,3,38203,Female,Camera,Kodak,2004,8,5,8816,44080
151,1732,4,38204,Female,Computers & Accessories,Toshiba,2004,8,5,5995,29975
148,2506,5,38204,Male,Camera,Kodak,2004,8,8,6759,54072
133,2507,4,38206,Male,Computers & Accessories,Kensington,2004,8,8,6950,55600
65,991,2,38207,Female,Camera,Sony,2004,8,10,6891,68910
148,2522,4,38210,Male,Camera,Kodak,2004,8,6,8754,52524
167,2563,5,38223,Female,Camera,Kodak,2004,8,6,7370,44220
157,2572,5,38225,Female,Camera,Sony,2004,8,10,5879,58790
143,2580,5,38227,Female,Camera,Canon,2004,8,9,8829,79461
81,2604,2,38236,Female,Computers & Accessories,Linksys,2004,9,8,7214,57712
92,2620,5,38242,Female,Camera,Canon,2004,9,8,7987,63896
171,2640,4,38245,Female,Camera,Kodak,2004,9,9,7821,70389
146,2640,5,38246,Female,Camera,Canon,2004,9,9,6880,61920
175,269,5,38246,Female,Camera,Kodak,2004,9,10,5311,53110
81,2650,1,38249,Female,Computers & Accessories,Linksys,2004,9,9,6402,57618
145,2669,5,38253,Female,Camera,Canon,2004,9,8,5021,40168
167,2674,5,38254,Female,Camera,Kodak,2004,9,7,8940,62580
146,2697,5,38261,Female,Camera,Canon,2004,10,8,9567,76536
143,2721,3,38269,Female,Camera,Canon,2004,10,7,9557,66899
142,2726,5,38270,Female,Computers & Accessories,Linksys,2004,10,7,7634,53438
145,2770,5,38287,Female,Camera,Canon,2004,10,5,6335,31675
154,2787,5,38292,Female,Headphones,EldHus,2004,11,10,6845,68450
191,2799,4,38295,Female,Camera,Vivitar,2004,11,10,8547,85470
142,2802,4,38296,Female,Computers & Accessories,Linksys,2004,11,10,8139,81390
167,2809,5,38300,Female,Camera,Kodak,2004,11,5,9472,47360
103,2814,5,38303,Female,Camera,Olympus,2004,11,6,8532,51192
177,2817,4,38303,Female,Camera,Fujifilm,2004,11,6,6680,40080
155,2820,2,38304,Female,Camera,Olympus,2004,11,6,7709,46254
143,2830,4,38307,Female,Camera,Canon,2004,11,10,7531,75310
195,2857,5,38314,Male,Camera,Sony,2004,11,8,8089,64712
103,2862,4,38315,Female,Camera,Olympus,2004,11,10,8919,89190
80,2866,5,38316,Female,Computers & Accessories,Linksys,2004,11,9,5206,46854
92,2904,4,38323,Female,Camera,Canon,2004,12,10,8910,89100
202,2915,2,38325,Female,Camera,Sony,2004,12,5,9657,48285
172,2928,5,38328,Male,Camera,HP,2004,12,5,6929,34645
157,2956,5,38333,Female,Camera,Sony,2004,12,9,6872,61848
153,2817,2,38333,Male,Camera,Kodak,2004,12,5,7617,38085
140,2973,4,38336,Male,Camera,Sony,2004,12,8,9631,77048
145,2989,4,38338,Female,Camera,Canon,2004,12,7,6355,44485
145,2992,5,38339,Female,Camera,Canon,2004,12,5,8983,44915
178,3013,1,38344,Female,Home Audio,Bose,2004,12,10,7605,76050
140,3040,5,38347,Male,Camera,Sony,2004,12,8,8040,64320
189,3048,4,38348,Male,Camera,HP,2004,12,9,5856,52704
195,3049,3,38348,Male,Camera,Sony,2004,12,5,8169,40845
146,3053,5,38348,Female,Camera,Canon,2004,12,8,5954,47632
179,3061,3,38349,Female,Camera,Canon,2004,12,8,6259,50072
172,3073,5,38350,Male,Camera,HP,2004,12,7,9229,64603
166,3079,1,38351,Female,Camera,Kodak,2004,12,9,9994,89946
163,3092,5,38352,Female,Camera,Kodak,2004,12,10,7061,70610
143,3101,5,38353,Female,Camera,Canon,2005,1,9,7889,71001
143,3127,4,38356,Female,Camera,Canon,2005,1,8,9769,78152
187,3128,5,38356,Female,Camera,Panasonic,2005,1,9,8734,78606
142,3130,5,38357,Female,Computers & Accessories,Linksys,2005,1,7,7968,55776
181,3184,1,38367,Male,Camera,Olympus,2005,1,5,6750,33750
167,2721,5,38369,Female,Camera,Kodak,2005,1,9,5013,45117
167,3209,5,38372,Female,Camera,Kodak,2005,1,8,7321,58568
197,3227,4,38376,Female,Camera,Olympus,2005,1,6,6045,36270
80,3280,5,38386,Female,Computers & Accessories,Linksys,2005,2,10,8741,87410
